zone,house_hold_size,income,total_males,total_females,total_tg,highest_ed_males,highest_ed_females,highest_ed_tg,age_lt_6,age_7_to_14,age_15_to_29,age_30_to_59,age_gt_60,no_males_working,no_of_females_working,primary_occu_males,primary_occu_females,no_youngage_workingmembers,no_middleage_workingmembers,no_oldage_workingmembers,Dwelling_Nature,House_typology,Building level,Floors_above,Road_type,Road_width,Road_material,Category,Duration_stay,Age_house,House_Ownership,Fam_Type,Source_waterSupply,Distance_watersupply_source,Qlty_drinking_water_normal days,Water_Quality_monsoons,Quantity_drinking water_normal days,Quantity_drinking_water_during_flooding,Drinking_water_treatment,Issues_with_drinking_water_solved_by,Toilet_Facility,Dist_community_toilets,Sewage_Disposal_System,Drains_Situation,Drainage_channel_connected_to_city_network,Cleaning_agent,Frequency_of_drain_cleaning,If_naturally_howMuchTime,Electricity_Source,PowerCut_Frequency,Proficiency_digital_services,television,computer_laptop,internet_connectivity,radio,mobile,bi-cycle,motorised,no_assets,Health_Infra_Distance,Dist_to_bank,Garbage_collection_Authority,Garbage_Disposal_System,Garbage_dispsl_during_flood,Frequency_GarbageCollection_Nrml_days,Flood_events_experienced,Depth_water_logging,Water_removal_process,Evacuated_before,Dist_to_evacuated_area,Medical_conditions_during_ waterLogging,Loss_working_days_during_floods,Income_loss_per_day,Experience _with_flood,Financial_loss_due_to floods,income_category
east,4.0,45000.0,2.0,2.0,0.0,Higher Secondary,Primary,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,Administrative / Clerks,0,1.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Sub-Arterial,30-40 m,Bituminous roads,General,40-60,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,10-25 years,2000-6000,4.0
east,6.0,28000.0,3.0,3.0,0.0,Graduate,Illiterate,,1.0,1.0,0.0,3.0,1.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Gravel roads,ST,25-40,<10,Tenant,Joint,Community Tap,,Satisfactory,Remains same,,Less / No Supply,Filter,City administration,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,No,No,Yes,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Others,Weekly,4,1 ft,Mechanically,No,,No,4-6 Days,40-60%,10-25 years,2000-6000,5.0
east,4.0,48000.0,1.0,3.0,0.0,Higher Secondary,Illiterate,,1.0,1.0,0.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Collector road,20-30 m,Bituminous roads,General,40-60,>60,Tenant,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Mechanically,Yes,> 5 km,No,1-3 Days,Negligible/<20%,10-25 years,2000-6000,4.0
east,3.0,36000.0,1.0,2.0,0.0,Graduate,Illiterate,,0.0,0.0,1.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Collector road,20-30 m,Cement roads,General,25-40,>60,Tenant,Joint,Municipal Corporation,< 1 km,Good,Remains same,,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1-1/2 ft,Mechanically,Yes,1 - 3 km,No,1-3 Days,Negligible/<20%,10-25 years,No loss but a lot of inconvenience,4.0
east,5.0,38000.0,3.0,2.0,0.0,Graduate,Illiterate,,0.0,0.0,3.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Cement roads,General,40-60,10-25,Tenant,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,3,1-1/2 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
north,5.0,70000.0,2.0,3.0,0.0,Higher Secondary,Graduate,,0.0,1.0,0.0,2.0,2.0,1.0,1.0,Light / Small scale industry,Government (state/central/private/retired),0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Cement roads,OBC,40-60,<10,Owner,Joint,Municipal Corporation,< 1 km,Poor,Remains same,,Remains same,Chemicals,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,<6 Hours,Solar Power,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,1,6 inch or below,Mechanically,No,,No,1-3 Days,Negligible/<20%,<10 years,2000-6000,3.0
north,3.0,60000.0,2.0,1.0,0.0,Higher Secondary,Higher Secondary,,1.0,0.0,2.0,0.0,0.0,1.0,1.0,Light / Small scale industry,Business / Trade Industry,2.0,0.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Cement roads,OBC,<10,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,No,Yes,Yes,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,3,1-1/2 ft,Manually,No,,No,No loss,No loss,<10 years,2000-6000,3.0
north,4.0,70000.0,2.0,2.0,0.0,Graduate,Illiterate,,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Bituminous roads,General,10-25,>60,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Remains same,Aquaguard,City administration,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Solar Power,Unchanged,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,1,1-1/2 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,10-25 years,No loss but a lot of inconvenience,3.0
north,2.0,73000.0,1.0,1.0,0.0,Higher Secondary,Graduate,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,Light / Small scale industry,Business / Trade Industry,0.0,0.0,2.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Cement roads,SC,25-40,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Remains same,Aquaguard,Only few people take initiative,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Solar Power,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,1,1-1/2 ft,Mechanically,No,,No,No loss,No loss,10-25 years,2000-6000,3.0
north,4.0,92000.0,2.0,2.0,0.0,Graduate,Higher Secondary,,0.0,0.0,2.0,2.0,0.0,1.0,1.0,Light / Small scale industry,Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Cement roads,SC,>60,>60,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,6 inch or below,Mechanically,No,,No,No loss,No loss,<10 years,6000-10000,2.0
north,4.0,78000.0,2.0,2.0,0.0,Higher Secondary,Higher Secondary,,0.0,2.0,0.0,2.0,0.0,1.0,1.0,Government (state/central/private/retired),Business / Trade Industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,5-10 m,Cement roads,General,40-60,25-40,Owner,Nuclear,Municipal Corporation,1-2 kms,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Unchanged,Intermediate,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,1,6 inch or below,Mechanically,No,,No,No loss,No loss,<10 years,>15000,2.0
north,6.0,92000.0,4.0,2.0,0.0,Higher Secondary,Graduate,,1.0,1.0,1.0,3.0,0.0,1.0,1.0,Business / Trade Industry,Light / Small scale industry,1.0,1.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Bituminous roads,General,>60,10-25,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Solar Power,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,1,1 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,<10 years,6000-10000,2.0
north,3.0,114000.0,1.0,2.0,0.0,Graduate,Higher Secondary,,0.0,0.0,2.0,1.0,0.0,1.0,1.0,Government (state/central/private/retired),Business / Trade Industry,2.0,0.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Bituminous roads,General,<10,<10,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,City administration,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Solar Power,Slightly Higher,Expert,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,1,1-1/2 ft,Mechanically,No,,No,No loss,No loss,<10 years,>15000,1.0
north,6.0,115000.0,4.0,2.0,0.0,Graduate,Higher Secondary,,0.0,0.0,3.0,2.0,1.0,1.0,1.0,Business / Trade Industry,Light / Small scale industry,0.0,2.0,0.0,Pucca,Individual House,Raised on Columns,G + 2,Sub-Arterial,30-40 m,Bituminous roads,OBC,40-60,10-25,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Solar Power,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,1,1 ft,Mechanically,No,,No,No loss,No loss,<10 years,No loss but a lot of inconvenience,1.0
north,5.0,47000.0,2.0,3.0,0.0,Secondary,Higher Secondary,,1.0,0.0,2.0,2.0,0.0,1.0,1.0,Administrative / Clerks,Government (state/central/private/retired),2.0,0.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Bituminous roads,General,>60,10-25,Tenant,Joint,Municipal Corporation,< 1 km,Good,Worsens,,Less / No Supply,Aquaguard,City administration,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1-1/2 ft,Mechanically,No,,Yes,1-3 Days,Negligible/<20%,10-25 years,2000-6000,4.0
north,6.0,32000.0,2.0,4.0,0.0,Higher Secondary,Primary,,0.0,2.0,0.0,2.0,2.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Local roads,5-10 m,Cement roads,General,10-25,25-40,Tenant,Multi-family,Municipal Corporation,< 1 km,Good,Worsens,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,No,No,Yes,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,4,> 2 ft,Mechanically,No,,No,4-6 Days,40-60%,<10 years,2000-6000,5.0
north,3.0,26000.0,1.0,2.0,0.0,Higher Secondary,Primary,,0.0,0.0,2.0,1.0,0.0,1.0,0.0,Business / Trade Industry,0,1.0,0.0,0.0,Pucca,Individual House,Ground level,G + 1,Collector road,20-30 m,Bituminous roads,OBC,25-40,<10,Tenant,Joint,Community Tap,,Satisfactory,Worsens,,Less / No Supply,Filter,City administration,Private,,Pit Latrine,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,No,No,Yes,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,4,1 ft,Mechanically,No,,No,1-3 Days,20-40%,10-25 years,2000-6000,5.0
north,2.0,54000.0,1.0,1.0,0.0,Higher Secondary,Primary,,0.0,0.0,0.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Bituminous roads,General,25-40,40-60,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,,Less / No Supply,Aquaguard,City administration,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Manually,Yes,1 - 3 km,No,1-3 Days,20-40%,10-25 years,No loss but a lot of inconvenience,4.0
north,4.0,28000.0,3.0,1.0,0.0,Higher Secondary,Illiterate,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 3,Local roads,4-5 m,Cement roads,Others,25-40,<10,Owner,Nuclear,Community Tap,,Satisfactory,Worsens,,Less / No Supply,Filter,City administration,Private,,Septic Tank,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Unchanged,Expert,Yes,No,No,Yes,Yes,Yes,Yes,No,1-3 km,1-3 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,3,1-1/2 ft,Mechanically,Yes,<1 km,No,4-6 Days,40-60%,10-25 years,2000-6000,5.0
north,4.0,40000.0,1.0,3.0,0.0,Higher Secondary,Primary,,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 2,Local roads,5-10 m,Cement roads,OBC,25-40,40-60,Tenant,Nuclear,Municipal Corporation,< 1 km,Poor,Worsens,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1 ft,Manually,Yes,3 - 5 km,No,1-3 Days,Negligible/<20%,10-25 years,2000-6000,4.0
north,3.0,41000.0,2.0,1.0,0.0,Higher Secondary,Higher Secondary,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,Administrative / Clerks,Administrative / Clerks,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Cement roads,General,>60,>60,Tenant,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,Yes,1 - 3 km,No,1-3 Days,20-40%,<10 years,2000-6000,4.0
north,4.0,32000.0,2.0,2.0,0.0,Secondary,Primary,,0.0,0.0,2.0,2.0,0.0,1.0,1.0,Administrative / Clerks,Administrative / Clerks,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Local roads,4-5 m,Gravel roads,Others,25-40,25-40,Tenant,Joint,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,City administration,Private,,Septic Tank,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Unchanged,Expert,Yes,No,No,Yes,Yes,Yes,Yes,No,<1 km,1-3 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,4,> 2 ft,Mechanically,Yes,1 - 3 km,No,4-6 Days,40-60%,<10 years,2000-6000,5.0
north,4.0,53000.0,2.0,2.0,0.0,Higher Secondary,Illiterate,,0.0,0.0,2.0,2.0,0.0,1.0,0.0,Government (state/central/private/retired),0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Cement roads,OBC,10-25,25-40,Tenant,Joint,Municipal Corporation,< 1 km,Good,Worsens,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,10-25 years,2000-6000,4.0
north,2.0,43000.0,1.0,1.0,0.0,Graduate,Secondary,,0.0,0.0,0.0,2.0,0.0,1.0,1.0,Light / Small scale industry,Retail / Livestock Related,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Cement roads,General,25-40,<10,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1-1/2 ft,Manually,No,,No,1-3 Days,20-40%,10-25 years,No loss but a lot of inconvenience,4.0
north,3.0,52000.0,2.0,1.0,0.0,Secondary,Higher Secondary,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,Administrative / Clerks,Light / Small scale industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Bituminous roads,OBC,>60,10-25,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
north,4.0,47000.0,2.0,2.0,0.0,Higher Secondary,Primary,,0.0,2.0,0.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Cement roads,General,40-60,40-60,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,Only few people take initiative,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Mechanically,Yes,<1 km,No,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
north,3.0,42000.0,2.0,1.0,0.0,Higher Secondary,Illiterate,,0.0,0.0,1.0,2.0,0.0,2.0,0.0,Business / Trade Industry,0,1.0,1.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Bituminous roads,General,25-40,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Yearly,6-12 Hours ,Municipal Corporation,Slightly Higher,Intermediate,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Manually,Yes,1 - 3 km,Yes,1-3 Days,20-40%,<10 years,2000-6000,4.0
north,5.0,31000.0,2.0,3.0,0.0,Higher Secondary,Primary,,0.0,1.0,0.0,3.0,1.0,1.0,1.0,Business / Trade Industry,Retail / Livestock Related,0.0,2.0,0.0,Semi-Pucca,Individual House,Ground level,G only,Collector road,20-30 m,Bituminous roads,General,25-40,25-40,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,,Remains same,Chemicals,City administration,Private,,Pit Latrine,Open,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,No,No,Yes,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Community Bin,Spills out into flooded roads,Weekly,3,> 2 ft,Mechanically,No,,No,4-6 Days,40-60%,<10 years,2000-6000,5.0
north,3.0,53000.0,2.0,1.0,0.0,Graduate,Illiterate,,0.0,0.0,2.0,1.0,0.0,1.0,0.0,Light / Small scale industry,0,1.0,0.0,0.0,Pucca,Individual House,Ground level,G + 2,Local roads,5-10 m,Bituminous roads,General,40-60,>60,Tenant,Joint,Municipal Corporation,1-2 kms,Poor,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Yearly,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Manually,Yes,> 5 km,Yes,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
north,4.0,43000.0,2.0,2.0,0.0,Higher Secondary,Secondary,,0.0,2.0,0.0,2.0,0.0,1.0,1.0,Light / Small scale industry,Light / Small scale industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Sub-Arterial,30-40 m,Bituminous roads,General,25-40,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Mechanically,No,,No,1-3 Days,20-40%,<10 years,2000-6000,4.0
north,5.0,43000.0,1.0,4.0,0.0,Higher Secondary,Illiterate,,2.0,0.0,2.0,1.0,0.0,1.0,0.0,Government (state/central/private/retired),0,1.0,0.0,0.0,Pucca,Individual House,Ground level,G + 2,Collector road,20-30 m,Cement roads,General,25-40,40-60,Owner,Joint,Municipal Corporation,< 1 km,Good,Remains same,,Less / No Supply,Aquaguard,Only few people take initiative,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,Yes,1-3 Days,20-40%,10-25 years,2000-6000,4.0
north,5.0,52000.0,3.0,2.0,0.0,Higher Secondary,Illiterate,,2.0,1.0,0.0,2.0,0.0,1.0,0.0,Business / Trade Industry,0,0.0,1.0,0.0,Pucca,Individual House,Ground level,G + 1,Collector road,20-30 m,Cement roads,SC,<10,25-40,Owner,Nuclear,Municipal Corporation,< 1 km,Good,Worsens,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,3,1-1/2 ft,Mechanically,No,,No,1-3 Days,Negligible/<20%,<10 years,2000-6000,4.0
north,5.0,37000.0,2.0,3.0,0.0,Higher Secondary,Illiterate,,0.0,1.0,0.0,2.0,2.0,1.0,1.0,Light / Small scale industry,Administrative / Clerks,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 2,Sub-Arterial,30-40 m,Bituminous roads,SC,10-25,40-60,Owner,Joint,Municipal Corporation,< 1 km,Satisfactory,Remains same,,Less / No Supply,Aquaguard,Individually,Private,,Muncipal Connection,Covered,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,2,1 ft,Manually,Yes,> 5 km,No,1-3 Days,Negligible/<20%,10-25 years,2000-6000,4.0
north,3.0,40000.0,1.0,2.0,0.0,Secondary,Higher Secondary,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,Business / Trade Industry,Light / Small scale industry,0.0,2.0,0.0,Pucca,Individual House,Ground level,G + 1,Collector road,20-30 m,Bituminous roads,OBC,25-40,25-40,Tenant,Nuclear,Municipal Corporation,< 1 km,Poor,Worsens,,Less / No Supply,Boiling,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,<6 Hours,Municipal Corporation,Slightly Higher,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,1-3 km,1-3 km,Municipal corporation,Door-to-Door,Others,Daily,2,1-1/2 ft,Mechanically,No,,Yes,1-3 Days,20-40%,<10 years,2000-6000,4.0
north,5.0,49000.0,2.0,3.0,0.0,Graduate,Primary,,0.0,1.0,0.0,4.0,0.0,2.0,0.0,Business / Trade Industry,0,0.0,2.0,0.0,Pucca,Apartments,Ground level,G + 2,Local roads,5-10 m,Bituminous roads,General,10-25,40-60,Owner,Joint,Municipal Corporation,< 1 km,Good,Worsens,,Remains same,Aquaguard,Individually,Private,,Muncipal Connection,Open,Connected,Municipal corporation,Only when drains overflow,6-12 Hours ,Municipal Corporation,Unchanged,Expert,Yes,Yes,Yes,No,Yes,No,Yes,No,<1 km,< 1 km,Municipal corporation,Door-to-Door,Others,Daily,3,1 ft,Mechanically,Yes,1 - 3 km,No,1-3 Days,20-40%,10-25 years,2000-6000,4.0
